tournament_name,surface,draw_size,tournament_level,tournament_date,season,round,best_of,winner_id,winner_name,loser_id,loser_name,winner_age,winner_ht,winner_hand,winner_ioc,winner_seed,winner_entry,winner_rank,winner_rank_points,loser_age,loser_ht,loser_hand,loser_ioc,loser_seed,loser_entry,loser_rank,loser_rank_points,tournament_year,rank_diff,log_winner_rank_points,log_loser_rank_points,log_rank_points_diff,age_diff,round_order
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,104678,Viktor Troicki,106415,Yoshihito Nishioka,30.8,193.0,R,SRB,,,29.0,1385.0,21.2,170.0,L,JPN,,Q,100.0,604.0,2017,71.0,7.234177179749849,6.405228458030842,0.8289487217190068,9.600000000000001,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,106378,Kyle Edmund,124014,Ernesto Escobedo,21.9,188.0,R,GBR,,,45.0,1001.0,20.4,185.0,R,MEX,,Q,141.0,443.0,2017,96.0,6.90975328164481,6.095824562432225,0.8139287192125852,1.5,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,106298,Lucas Pouille,104468,Gilles Simon,22.8,185.0,R,FRA,6.0,,15.0,2156.0,32.0,183.0,R,FRA,,,25.0,1585.0,2017,10.0,7.676473646389156,7.368970402194793,0.30750324419436303,-9.2,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,111577,Jared Donaldson,104180,Gilles Muller,20.2,188.0,R,USA,,Q,105.0,570.0,33.6,193.0,L,LUX,,,34.0,1255.0,2017,-71.0,6.3473892096560105,7.135687347028144,-0.7882981373721334,-13.400000000000002,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,111442,Jordan Thompson,111200,Elias Ymer,22.7,183.0,R,AUS,,WC,79.0,689.0,20.7,185.0,R,SWE,,WC,160.0,372.0,2017,81.0,6.536691597591305,5.921578419643816,0.6151131779474888,2.0,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,103970,David Ferrer,106071,Bernard Tomic,34.7,175.0,R,ESP,8.0,,21.0,1785.0,24.1,196.0,R,AUS,,,26.0,1465.0,2017,5.0,7.487733761436444,7.290292882446597,0.1974408789898474,10.600000000000001,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,105777,Grigor Dimitrov,105449,Steve Johnson,25.6,191.0,R,BUL,7.0,,17.0,2035.0,27.0,188.0,R,USA,,,33.0,1320.0,2017,16.0,7.618742377670413,7.186144304522325,0.43259807314808807,-1.3999999999999986,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,103917,Nicolas Mahut,103565,Stephane Robert,34.9,191.0,R,FRA,,,39.0,1102.0,36.6,185.0,R,FRA,,,54.0,854.0,2017,15.0,7.005789019253503,6.75110146893676,0.25468755031674295,-1.7000000000000028,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,105032,Sam Groth,105732,Pierre Hugues Herbert,29.2,193.0,R,AUS,,WC,180.0,320.0,25.7,188.0,R,FRA,,,78.0,698.0,2017,-102.0,5.771441123130016,6.54965074223381,-0.7782096191037944,3.5,3.0
Brisbane,Hard,32,A,2017-01-02,2017,R32,3,104745,Rafael Nadal,105238,Alexandr Dolgopolov,30.5,185.0,L,ESP,5.0,,9.0,3300.0,28.1,180.0,R,UKR,,,62.0,760.0,2017,53.0,8.101980731853192,6.634633357861686,1.4673473739915064,2.3999999999999986,3.0
