tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,rank_diff,rank_pts_diff,age_diff,height_diff,w_ace_per_game,w_df_per_game,l_ace_per_game,l_df_per_game,w_1st_pct,w_1st_win_pct,w_bp_save_pct,l_1st_pct,l_1st_win_pct,l_bp_save_pct,match_length
2017-580,Australian Open,Hard,128,G,2017-01-16,107,122330,0.0,Q,Alexander Bublik,R,196.0,KAZ,19.5,106298,16.0,Unseeded,Lucas Pouille,R,185.0,FRA,22.8,6-0 3-6 6-3 6-4,5,R128,103.0,16.0,9.0,95.0,50.0,43.0,19.0,17.0,3.0,6.0,6.0,7.0,95.0,55.0,40.0,14.0,17.0,4.0,11.0,207.0,268.0,16.0,2131.0,191.0,-1863.0,-3.3000000000000007,11.0,0.8888888888888888,0.5,0.3333333333333333,0.3888888888888889,0.5263157894736842,0.86,0.5,0.5789473684210527,0.7272727272727273,0.36363636363636365,1.7166666666666666
2017-580,Australian Open,Hard,128,G,2017-01-16,109,105992,0.0,Unseeded,Ryan Harrison,R,185.0,USA,24.6,103917,0.0,Unseeded,Nicolas Mahut,R,191.0,FRA,34.9,6-3 6-4 6-2,5,R128,122.0,8.0,3.0,77.0,49.0,38.0,14.0,14.0,4.0,6.0,1.0,5.0,95.0,56.0,33.0,16.0,13.0,8.0,14.0,82.0,664.0,41.0,1085.0,41.0,-421.0,-10.299999999999997,-6.0,0.5333333333333333,0.2,0.07142857142857142,0.35714285714285715,0.6363636363636364,0.7755102040816326,0.6666666666666666,0.5894736842105263,0.5892857142857143,0.5714285714285714,2.033333333333333
2017-580,Australian Open,Hard,128,G,2017-01-16,110,111511,0.0,Q,Noah Rubin,R,175.0,USA,20.9,106216,0.0,Q,Bjorn Fratangelo,R,183.0,USA,23.4,6-7(4) 7-5 3-6 6-2 6-2,5,R128,188.0,15.0,6.0,160.0,94.0,70.0,31.0,25.0,5.0,10.0,9.0,8.0,174.0,112.0,78.0,21.0,24.0,6.0,14.0,200.0,274.0,113.0,519.0,87.0,-245.0,-2.5,-8.0,0.5769230769230769,0.23076923076923078,0.36,0.32,0.5875,0.7446808510638298,0.5,0.6436781609195402,0.6964285714285714,0.42857142857142855,3.1333333333333333
2017-580,Australian Open,Hard,128,G,2017-01-16,108,104607,10.0,Unseeded,Tomas Berdych,R,196.0,CZE,31.3,104563,0.0,Q,Luca Vanni,R,198.0,ITA,31.6,6-1 RET,5,R128,32.0,2.0,2.0,22.0,10.0,8.0,9.0,4.0,1.0,1.0,1.0,2.0,26.0,16.0,8.0,4.0,3.0,1.0,3.0,10.0,3060.0,157.0,373.0,-147.0,2687.0,-0.3000000000000007,-2.0,0.4,0.4,0.25,0.5,0.45454545454545453,0.8,1.0,0.6153846153846154,0.5,0.3333333333333333,0.5333333333333333
2017-580,Australian Open,Hard,128,G,2017-01-16,106,104291,0.0,Unseeded,Malek Jaziri,R,185.0,TUN,32.9,104424,0.0,Q,Go Soeda,R,178.0,JPN,32.3,6-3 6-4 6-3,5,R128,120.0,7.0,4.0,77.0,35.0,30.0,23.0,14.0,2.0,4.0,5.0,2.0,99.0,53.0,36.0,16.0,14.0,8.0,14.0,56.0,824.0,139.0,431.0,-83.0,393.0,0.6000000000000014,7.0,0.4666666666666667,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.45454545454545453,0.8571428571428571,0.5,0.5353535353535354,0.6792452830188679,0.5714285714285714,2.0
2017-580,Australian Open,Hard,128,G,2017-01-16,101,126094,0.0,Q,Andrey Rublev,R,188.0,RUS,19.2,104229,0.0,Unseeded,Yen Hsun Lu,R,180.0,TPE,33.4,4-6 6-3 7-6(0) 6-3,5,R128,170.0,19.0,6.0,142.0,76.0,59.0,33.0,20.0,19.0,22.0,16.0,7.0,117.0,65.0,47.0,25.0,20.0,3.0,7.0,152.0,383.0,60.0,786.0,92.0,-403.0,-14.2,8.0,0.9047619047619048,0.2857142857142857,0.7619047619047619,0.3333333333333333,0.5352112676056338,0.7763157894736842,0.8636363636363636,0.5555555555555556,0.7230769230769231,0.42857142857142855,2.8333333333333335
2017-580,Australian Open,Hard,128,G,2017-01-16,104,104545,19.0,Unseeded,John Isner,R,208.0,USA,31.7,104505,0.0,Unseeded,Konstantin Kravchuk,R,190.0,RUS,31.8,6-3 6-4 6-7(5) 6-1,5,R128,143.0,33.0,6.0,111.0,79.0,67.0,20.0,19.0,2.0,2.0,19.0,4.0,112.0,74.0,59.0,17.0,19.0,6.0,10.0,19.0,1850.0,88.0,642.0,-69.0,1208.0,-0.10000000000000142,18.0,1.65,0.3,0.95,0.2,0.7117117117117117,0.8481012658227848,1.0,0.6607142857142857,0.7972972972972973,0.6,2.3833333333333333
2017-580,Australian Open,Hard,128,G,2017-01-16,103,105023,31.0,Unseeded,Sam Querrey,R,198.0,USA,29.2,111460,0.0,Unseeded,Quentin Halys,R,191.0,FRA,20.2,6-7(10) 7-6(4) 6-3 6-4,5,R128,165.0,31.0,10.0,133.0,81.0,72.0,23.0,22.0,3.0,6.0,24.0,9.0,151.0,89.0,66.0,33.0,21.0,11.0,16.0,32.0,1355.0,155.0,379.0,-123.0,976.0,9.0,7.0,1.3478260869565217,0.43478260869565216,1.0909090909090908,0.4090909090909091,0.6090225563909775,0.8888888888888888,0.5,0.5894039735099338,0.7415730337078652,0.6875,2.75
2017-580,Australian Open,Hard,128,G,2017-01-16,102,200282,0.0,Unseeded,Alex De Minaur,R,183.0,AUS,17.9,105589,0.0,Unseeded,Gerald Melzer,L,188.0,AUT,26.5,5-7 6-3 2-6 7-6(2) 6-1,5,R128,222.0,12.0,7.0,167.0,96.0,65.0,34.0,24.0,12.0,19.0,4.0,6.0,157.0,105.0,65.0,25.0,24.0,13.0,20.0,301.0,164.0,87.0,648.0,214.0,-484.0,-8.600000000000001,-5.0,0.48,0.28,0.16,0.24,0.5748502994011976,0.6770833333333334,0.631578947368421,0.6687898089171974,0.6190476190476191,0.65,3.7
2017-580,Australian Open,Hard,128,G,2017-01-16,111,103819,17.0,Unseeded,Roger Federer,R,185.0,SUI,35.4,103781,0.0,Q,Jurgen Melzer,L,183.0,AUT,35.6,7-5 3-6 6-2 6-2,5,R128,125.0,19.0,1.0,103.0,66.0,51.0,20.0,19.0,1.0,4.0,4.0,1.0,111.0,83.0,47.0,15.0,18.0,2.0,9.0,17.0,1980.0,300.0,164.0,-283.0,1816.0,-0.20000000000000284,2.0,0.95,0.05,0.21052631578947367,0.05263157894736842,0.6407766990291263,0.7727272727272727,0.25,0.7477477477477478,0.5662650602409639,0.2222222222222222,2.0833333333333335
